V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13
79	RR00487117	hsa-miR-133a-3p	miRNA	Homo sapiens	EGFR	mRNA	Homo sapiens	miRBase:MIMAT0000427	NCBI:1956	0.652	qPCR//Western blot//RT-PCR//Reporter assay//qRT-PCR//Luciferase reporter assay	CLIP-seq//RNA-seq	TargetScan//miRanda//MirTarget
90	RR01560384	hsa-miR-137-3p	miRNA	Homo sapiens	XIST	lncRNA	Homo sapiens	miRBase:MIMAT0000429	NCBI:7503	0.6165	qPCR//Western blot//RIP//ChIP//qRT-PCR//Luciferase reporter assay	N/A	N/A
92	RR00518790	hsa-miR-138-5p	miRNA	Homo sapiens	EZH2	mRNA	Homo sapiens	miRBase:MIMAT0000430	NCBI:2146	0.6527	qPCR//Western blot//RT-PCR//Immunoblot//Reporter assay//ELISA//IHC//qRT-PCR//Luciferase reporter assay	CLIP-seq//Microarray	TargetScan//Cupid//miRanda//MirTarget//PicTar
95	RR01217191	hsa-miR-138-5p	miRNA	Homo sapiens	RHOC	mRNA	Homo sapiens	miRBase:MIMAT0000430	NCBI:389	0.6133	Western blot//RT-PCR//RIP//Reporter assay//Dual luciferase reporter assay//qRT-PCR//Luciferase reporter assay	CLIP-seq//PAR-CLIP	TargetScan//miRanda//MirTarget//Cupid
104	RR01577210	hsa-miR-141-3p	miRNA	Homo sapiens	ZEB2	mRNA	Homo sapiens	miRBase:MIMAT0000432	NCBI:9839	0.6864	Northern blot//qPCR//Western blot//RT-PCR//RIP//Reporter assay//Dual luciferase reporter assay//qRT-PCR//Luciferase reporter assay	CLIP-seq	Cupid//miRanda//MirTarget
105	RR00713735	hsa-miR-142-3p	miRNA	Homo sapiens	HMGB1	mRNA	Homo sapiens	miRBase:MIMAT0000434	NCBI:3146	0.6134	qPCR//MTT assay//Western blot//RT-PCR//AGO-CLIP//Reporter assay//ChIP//qRT-PCR//Luciferase reporter assay	CLIP-seq//PAR-CLIP	TargetScan//miRanda//MirTarget
108	RR00218992	hsa-miR-143-3p	miRNA	Homo sapiens	BCL2	mRNA	Homo sapiens	miRBase:MIMAT0000435	NCBI:596	0.7077	qPCR//MTT assay//Western blot//RT-PCR//RIP//Reporter assay//Dual luciferase reporter assay//IHC//qRT-PCR//Luciferase reporter assay//IFS	CLIP-seq//Microarray//PAR-CLIP	MirTarget
110	RR00450987	hsa-miR-143-3p	miRNA	Homo sapiens	DNMT3A	mRNA	Homo sapiens	miRBase:MIMAT0000435	NCBI:1788	0.6107	qPCR//Western blot//RT-PCR//Reporter assay//Luciferase reporter assay//qRT-PCR//AGO-CLIP	N/A	Cupid//miRanda//MirTarget
111	RR00896846	hsa-miR-143-3p	miRNA	Homo sapiens	MAPK7	mRNA	Homo sapiens	miRBase:MIMAT0000435	NCBI:5598	0.7168	Northern blot//MTT assay//Western blot//RT-PCR//qRT-PCR//Reporter assay//Dual luciferase reporter assay//ISH//Luciferase reporter assay	CLIP-seq//Microarray	miRanda//MirTarget
119	RR00040510	hsa-miR-145-5p	miRNA	Homo sapiens	ADAM17	mRNA	Homo sapiens	miRBase:MIMAT0000437	NCBI:6868	0.6162	Western blot//RT-PCR//qRT-PCR//Reporter assay//IHC//ISH//Luciferase reporter assay	CLIP-seq	miRanda//MirTarget
122	RR00742784	hsa-miR-145-5p	miRNA	Homo sapiens	IGF1R	mRNA	Homo sapiens	miRBase:MIMAT0000437	NCBI:3480	0.6115	Western blot//RT-PCR//Reporter assay//qRT-PCR//Luciferase reporter assay	CLIP-seq	Cupid//MirTarget
123	RR00759458	hsa-miR-145-5p	miRNA	Homo sapiens	IRS1	mRNA	Homo sapiens	miRBase:MIMAT0000437	NCBI:3667	0.6375	Northern blot//Western blot//RT-PCR//qRT-PCR//Reporter assay//Dual luciferase reporter assay//ISH//Luciferase reporter assay	CLIP-seq	Cupid//miRanda//MirTarget
124	RR00948040	hsa-miR-145-5p	miRNA	Homo sapiens	MUC1	mRNA	Homo sapiens	miRBase:MIMAT0000437	NCBI:4582	0.608	Northern blot//qPCR//Western blot//RT-PCR//Reporter assay//IHC//qRT-PCR//Luciferase reporter assay	N/A	miRanda
125	RR00950988	hsa-miR-145-5p	miRNA	Homo sapiens	MYC	mRNA	Homo sapiens	miRBase:MIMAT0000437	NCBI:4609	0.674	qPCR//Western blot//RT-PCR//Immunoblot//Reporter assay//ChIP//qRT-PCR//Luciferase reporter assay	CLIP-seq	Cupid//miRanda
129	RR01476861	hsa-miR-146a-5p	miRNA	Homo sapiens	TRAF6	mRNA	Homo sapiens	miRBase:MIMAT0000449	NCBI:7189	0.7996	Western blot//RT-PCR//RNA hybrid//qRT-PCR//Luciferase reporter assay	N/A	TargetScan//MirTarget
130	RR01476862	hsa-miR-146b-5p	miRNA	Homo sapiens	TRAF6	mRNA	Homo sapiens	miRBase:MIMAT0002809	NCBI:7189	0.6131	Northern blot//Western blot//RT-PCR//qRT-PCR//Reporter assay//Dual luciferase reporter assay//ELISA//IHC//ISH//Luciferase reporter assay	CLIP-seq//Microarray	miRanda//MirTarget
140	RR00950303	hsa-miR-150-5p	miRNA	Homo sapiens	MYB	mRNA	Homo sapiens	miRBase:MIMAT0000451	NCBI:4602	0.7268	Western blot//RT-PCR//qRT-PCR//Reporter assay//IHC//ISH//Luciferase reporter assay	CLIP-seq//Microarray//TaqMan array	TargetScan//miRanda//MirTarget//Cupid
144	RR00450863	hsa-miR-152-3p	miRNA	Homo sapiens	DNMT1	mRNA	Homo sapiens	miRBase:MIMAT0000438	NCBI:1786	0.6838	RT-PCR//Luciferase reporter assay//Western blot	N/A	MirTarget
146	RR00478760	hsa-miR-155-5p	miRNA	Homo sapiens	E2F2	mRNA	Homo sapiens	miRBase:MIMAT0000646	NCBI:1870	0.6051	Western blot//RT-PCR//Reporter assay//IHC//MTS assay//qRT-PCR//Luciferase reporter assay	HITS-CLIP//Microarray//CLIP-seq//PAR-CLIP	TargetScan//miRanda//MirTarget//Cupid
147	RR00576842	hsa-miR-155-5p	miRNA	Homo sapiens	FOXO3	mRNA	Homo sapiens	miRBase:MIMAT0000646	NCBI:2309	0.7405	Western blot//RT-PCR//Reporter assay//Dual luciferase reporter assay//IHC//qRT-PCR//Luciferase reporter assay	CLIP-seq//Microarray	Cupid//TargetScan//miRanda
148	RR00753107	hsa-miR-155-5p	miRNA	Homo sapiens	INPP5D	mRNA	Homo sapiens	miRBase:MIMAT0000646	NCBI:3635	0.6926	Northern blot//EMSA//Western blot//RT-PCR//qRT-PCR//Reporter assay//IHC//ISH//Luciferase reporter assay	Microarray	TargetScan//miRanda//MirTarget
151	RR01343692	hsa-miR-155-5p	miRNA	Homo sapiens	SOCS1	mRNA	Homo sapiens	miRBase:MIMAT0000646	NCBI:8651	0.7541	qPCR//Western blot//RT-PCR//ELISA//Luciferase reporter assay	N/A	TargetScan//miRanda//RNA22//MirTarget//PicTar
168	RR00518904	hsa-miR-183-5p	miRNA	Homo sapiens	EZR	mRNA	Homo sapiens	miRBase:MIMAT0000261	NCBI:7430	0.6437	Western blot//RT-PCR//Reporter assay//IHC//qRT-PCR//Luciferase reporter assay	CLIP-seq	TargetScan//Cupid//miRanda//MirTarget
179	RR00294802	hsa-miR-193b-3p	miRNA	Homo sapiens	CCND1	mRNA	Homo sapiens	miRBase:MIMAT0002819	NCBI:595	0.6573	qPCR//Western blot//RT-PCR//RIP//qRT-PCR//Reporter assay//Real-time RT-PCR//Dual luciferase reporter assay//IHC//ISH//Luciferase reporter assay	miRNA array//CLIP-seq//CLASH//Microarray	TargetScan//miRanda//MirTarget
180	RR00905447	hsa-miR-193b-3p	miRNA	Homo sapiens	MCL1	mRNA	Homo sapiens	miRBase:MIMAT0002819	NCBI:4170	0.6577	Northern blot//qPCR//Western blot//RT-PCR//AGO-CLIP//Reporter assay//qRT-PCR//Luciferase reporter assay	CLIP-seq//Microarray	TargetScan//miRanda//MirTarget
191	RR01151504	hsa-miR-19a-3p	miRNA	Homo sapiens	PTEN	mRNA	Homo sapiens	miRBase:MIMAT0000073	NCBI:5728	0.7548	qRT-PCR//Luciferase reporter assay//Western blot	N/A	MirTarget
192	RR01216781	hsa-miR-19a-3p	miRNA	Homo sapiens	RHOB	mRNA	Homo sapiens	miRBase:MIMAT0000073	NCBI:388	0.615	Western blot//Luciferase reporter assay//ChIP//qRT-PCR//AGO-CLIP	CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
201	RR01577037	hsa-miR-200b-3p	miRNA	Homo sapiens	ZEB1	mRNA	Homo sapiens	miRBase:MIMAT0000318	NCBI:6935	0.843	Northern blot//qPCR//Western blot//TaqMan miRNA assay//RT-PCR//RIP//Reporter assay//Luciferase reporter assay//IHC//qRT-PCR//AGO-CLIP//IFS	CLIP-seq//Microarray//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
202	RR00226522	hsa-miR-200c-3p	miRNA	Homo sapiens	BMI1	mRNA	Homo sapiens	miRBase:MIMAT0000617	NCBI:648	0.6301	Northern blot//qPCR//Immunoassay//Western blot//RT-PCR//AGO-CLIP//Immunoblot//Reporter assay//qRT-PCR//Luciferase reporter assay	CLIP-seq//Microarray	Cupid//miRanda//Bayesian target prediction algorithm
207	RR01577038	hsa-miR-200c-3p	miRNA	Homo sapiens	ZEB1	mRNA	Homo sapiens	miRBase:MIMAT0000617	NCBI:6935	0.8755	Northern blot//qPCR//Western blot//RT-PCR//Immunoblot//qRT-PCR//RIP//Reporter assay//Luciferase reporter assay//IHC//ISH//AGO-CLIP//IFS	CLIP-seq//CLASH//TaqMan array//PAR-CLIP//Microarray//ChIP-seq	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
208	RR01577241	hsa-miR-200c-3p	miRNA	Homo sapiens	ZEB2	mRNA	Homo sapiens	miRBase:MIMAT0000617	NCBI:9839	0.8016	Northern blot//qPCR//Western blot//RT-PCR//AGO-CLIP//Immunoblot//RIP//Reporter assay//IHC//qRT-PCR//Luciferase reporter assay	CLIP-seq//Microarray//TaqMan array	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
209	RR00226524	hsa-miR-203a-3p	miRNA	Homo sapiens	BMI1	mRNA	Homo sapiens	miRBase:MIMAT0000264	NCBI:648	0.7015	MTT assay//Western blot//RT-PCR//AGO-CLIP//Immunoblot//qRT-PCR//Reporter assay//Dual luciferase reporter assay//IHC//ISH//Luciferase reporter assay	CLIP-seq//Microarray	TargetScan//miRanda//MirTarget//Cupid
212	RR01335957	hsa-miR-203a-3p	miRNA	Homo sapiens	SNAI2	mRNA	Homo sapiens	miRBase:MIMAT0000264	NCBI:6591	0.649	qPCR//Western blot//RT-PCR//RIP//Reporter assay//qRT-PCR//Luciferase reporter assay	CLIP-seq//Microarray	TargetScan//miRanda//MirTarget
217	RR01347755	hsa-miR-204-5p	miRNA	Homo sapiens	SOX4	mRNA	Homo sapiens	miRBase:MIMAT0000265	NCBI:6659	0.6007	qPCR//ISH//Western blot//RT-PCR//AGO-CLIP//RIP//IP//Reporter assay//IHC//qRT-PCR//Luciferase reporter assay	CLIP-seq	Cupid//miRanda//MirTarget
218	RR01521465	hsa-miR-204-5p	miRNA	Homo sapiens	UCA1	lncRNA	Homo sapiens	miRBase:MIMAT0000265	NCBI:652995	0.6707	Northern blot//qPCR//Western blot//RT-PCR//RIP//Dual luciferase reporter assay//RIP binding assay//qRT-PCR//Luciferase reporter assay	N/A	miRanda
223	RR01576978	hsa-miR-205-5p	miRNA	Homo sapiens	ZEB1	mRNA	Homo sapiens	miRBase:MIMAT0000266	NCBI:6935	0.7077	qPCR//Western blot//RT-PCR//Reporter assay//Dual luciferase reporter assay//qRT-PCR//Luciferase reporter assay	HITS-CLIP//Microarray//CLIP-seq//ChIP-seq	TargetScan//miRanda//MirTarget//Cupid
225	RR00914380	hsa-miR-206	miRNA	Homo sapiens	MET	mRNA	Homo sapiens	miRBase:MIMAT0000462	NCBI:4233	0.6098	Northern blot//Western blot//RT-PCR//Reporter assay//ChIP//IHC//BrdU incorporation assay//qRT-PCR//Luciferase reporter assay	CLIP-seq	Cupid//miRanda//MirTarget
228	RR00553467	hsa-miR-20a-5p	miRNA	Homo sapiens	FBXL5	mRNA	Homo sapiens	miRBase:MIMAT0000075	NCBI:26234	0.6142	qPCR//Dual luciferase reporter assay//ChIP-qPCR//Western blot	HITS-CLIP//CLIP-seq//PAR-CLIP	miRanda//MirTarget//Bayesian target prediction algorithm
230	RR00550355	hsa-miR-21-5p	miRNA	Homo sapiens	FASLG	mRNA	Homo sapiens	miRBase:MIMAT0000076	NCBI:356	0.6218	Northern blot//Western blot//RT-PCR//Reporter assay//ICC//Dual luciferase reporter assay//qRT-PCR//Luciferase reporter assay	N/A	miRanda//MirTarget
231	RR00607418	hsa-miR-21-5p	miRNA	Homo sapiens	GAS5	lncRNA	Homo sapiens	miRBase:MIMAT0000076	NCBI:60674	0.6828	qPCR//Western blot//RT-PCR//RIP//qRT-PCR//Dual luciferase reporter assay//ISH//Luciferase reporter assay	Microarray//RNA-seq	TargetScan
232	RR00912413	hsa-miR-21-5p	miRNA	Homo sapiens	MEG3	lncRNA	Homo sapiens	miRBase:MIMAT0000076	NCBI:55384	0.65	qPCR//Western blot//RT-PCR//RIP//qRT-PCR//Luciferase reporter assay	N/A	N/A
233	RR01077035	hsa-miR-21-5p	miRNA	Homo sapiens	PDCD4	mRNA	Homo sapiens	miRBase:MIMAT0000076	NCBI:27250	1	Immunoassay//qPCR//Northern blot//Immunoblot//IP//ASO assay//qRT-PCR//sqRT-PCR//Western blot//miRNA RT-PCR//RIP//ChIP//ISH//Luciferase reporter assay//IFS//RT-PCR//IHC//MTT assay//Reporter assay	NGS//CLIP-seq//PAR-CLIP//Microarray//ChIP-seq	Cupid//miRanda//MirTarget
234	RR01151518	hsa-miR-21-5p	miRNA	Homo sapiens	PTEN	mRNA	Homo sapiens	miRBase:MIMAT0000076	NCBI:5728	0.9959	Northern blot//Western blot//RT-PCR//MTS assay//qRT-PCR//Luciferase reporter assay	Microarray	N/A
235	RR01208627	hsa-miR-21-5p	miRNA	Homo sapiens	RECK	mRNA	Homo sapiens	miRBase:MIMAT0000076	NCBI:8434	0.6932	Western blot//RT-PCR//Reporter assay//IHC//qRT-PCR//Luciferase reporter assay	CLIP-seq//Microarray//TaqMan array	Cupid//miRanda//MirTarget
236	RR01330636	hsa-miR-21-5p	miRNA	Homo sapiens	SMAD7	mRNA	Homo sapiens	miRBase:MIMAT0000076	NCBI:4092	0.6795	qRT-PCR//Luciferase reporter assay//Western blot	N/A	MirTarget
238	RR00485846	hsa-miR-210-3p	miRNA	Homo sapiens	EFNA3	mRNA	Homo sapiens	miRBase:MIMAT0000267	NCBI:1944	0.6522	Northern blot//Western blot//RT-PCR//IP//Reporter assay//qRT-PCR//Luciferase reporter assay	HITS-CLIP//CLIP-seq	TargetScan//miRanda
249	RR00226526	hsa-miR-218-5p	miRNA	Homo sapiens	BMI1	mRNA	Homo sapiens	miRBase:MIMAT0000275	NCBI:648	0.6594	qPCR//Western blot//RT-PCR//RIP//Reporter assay//Dual luciferase reporter assay//qRT-PCR//Luciferase reporter assay//IFS	CLIP-seq	Bayesian target prediction algorithm//TargetScan//Cupid//miRanda//MirTarget
254	RR01232449	hsa-miR-218-5p	miRNA	Homo sapiens	ROBO1	mRNA	Homo sapiens	miRBase:MIMAT0000275	NCBI:6091	0.6432	Western blot//RT-PCR//Immunoblot//Reporter assay//Dual luciferase reporter assay//IHC//qRT-PCR//Luciferase reporter assay	CLIP-seq//Microarray//PAR-CLIP	Bayesian target prediction algorithm//TargetScan//Cupid//miRanda//MirTarget
258	RR01302442	hsa-miR-22-3p	miRNA	Homo sapiens	SIRT1	mRNA	Homo sapiens	miRBase:MIMAT0000077	NCBI:23411	0.6007	Western blot//RT-PCR//Reporter assay//qRT-PCR//Luciferase reporter assay	CLIP-seq	TargetScan//miRanda//MirTarget//Cupid
262	RR01151528	hsa-miR-221-3p	miRNA	Homo sapiens	PTEN	mRNA	Homo sapiens	miRBase:MIMAT0000278	NCBI:5728	0.6855	Northern blot//Western blot//RT-PCR//Reporter assay//IHC//qRT-PCR//Luciferase reporter assay	N/A	miRanda
279	RR01151533	hsa-miR-25-3p	miRNA	Homo sapiens	PTEN	mRNA	Homo sapiens	miRBase:MIMAT0000081	NCBI:5728	0.6132	qPCR//Western blot//Reporter assay//Dual luciferase reporter assay//ELISA//qRT-PCR//Luciferase reporter assay	CLIP-seq//miRNA array	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
294	RR00311141	hsa-miR-29b-3p	miRNA	Homo sapiens	CDK6	mRNA	Homo sapiens	miRBase:MIMAT0000100	NCBI:1021	0.6199	Northern blot//Western blot//RT-PCR//Reporter assay//IHC//qRT-PCR//Luciferase reporter assay	CLIP-seq	Cupid//MirTarget//Bayesian target prediction algorithm
295	RR00451008	hsa-miR-29b-3p	miRNA	Homo sapiens	DNMT3A	mRNA	Homo sapiens	miRBase:MIMAT0000100	NCBI:1788	0.6637	qPCR//Western blot//RT-PCR//Reporter assay//Dual luciferase reporter assay//IHC//qRT-PCR//Luciferase reporter assay	CLIP-seq//Microarray	Bayesian target prediction algorithm//Cupid//miRanda//MirTarget
296	RR00929518	hsa-miR-29b-3p	miRNA	Homo sapiens	MMP2	mRNA	Homo sapiens	miRBase:MIMAT0000100	NCBI:4313	0.6381	Northern blot//Western blot//RT-PCR//Reporter assay//IHC//qRT-PCR//Luciferase reporter assay//IFS	CLIP-seq//Microarray	Cupid//Bayesian target prediction algorithm
298	RR01539603	hsa-miR-29b-3p	miRNA	Homo sapiens	VEGFA	mRNA	Homo sapiens	miRBase:MIMAT0000100	NCBI:7422	0.6545	qPCR//Western blot//RT-PCR//RIP//Reporter assay//ELISA//IHC//qRT-PCR//Luciferase reporter assay	CLIP-seq//PAR-CLIP	Bayesian target prediction algorithm//Cupid//miRanda//MirTarget
299	RR00451009	hsa-miR-29c-3p	miRNA	Homo sapiens	DNMT3A	mRNA	Homo sapiens	miRBase:MIMAT0000681	NCBI:1788	0.6389	qPCR//Western blot//RT-PCR//Immunoblot//Reporter assay//Dual luciferase reporter assay//IHC//qRT-PCR//Luciferase reporter assay	CLIP-seq//Microarray//PAR-CLIP	Bayesian target prediction algorithm//TargetScan//Cupid//miRanda//MirTarget
